Gene_name	FeAnBF	FeAnO	FeAnSF	FeAtO	FeAtSF	FeBrBF	FeBrO	FeBrSF	FeFLO	FeFLSF	FeHLBF	FeHLO	FeHLSF	FeMLO	FeMLSF	FeOsSF	FeOvO	FeOvSF	FePaSF	FeRsBF	FeRsSF	MaAn	MaAT	MaBr	MaFL	MaHL	MaML	MaRs
Ir75b	8.464525526	10.00381217	7.574976629	0	0	0.011082672	0.005131529	0.013972569	0	0	0.00503661	0	0	0	0	0.015191925	0	0	0	0.060695295	0.020913767	4.545689554	0.012689063	0.027139369	0	0	0	0.370887435
Ir75c	19.44132482	23.69670267	17.4328581	0	0	0.011082693	0.020526098	0.027945138	0.003045985	0	0.00503661	0.001839117	0.004520402	0	0.016136782	0.300039975	0	0.011584891	0	0.055637353	0.020913767	11.11833503	0	0	0	0	0.02065504	0.900726475
Ir75d	5.930046979	9.139871927	8.636125989	0.051529233	0.053033184	0.096357931	0.074359815	0.067490905	0.079449437	0.05650315	0.077849949	0.081727194	0.080788485	0.064615452	0.038972414	0.099063808	0	0.128703512	0.029925214	0.087952088	0.060611426	10.98482879	0.027581032	0.174786868	0.02630141	0.076916915	0.039907813	0.094495513
Ir75e	18.61373676	26.95207198	22.99760368	0.149591137	0.073313068	0.260860205	0.267266717	0.244910903	0.106780148	0.162729265	0.186652651	0.121576041	0.138093191	0.094399684	0.153545053	1.16023475	0.187278962	0.307491968	0.345723687	1.160122434	0.75410183	11.22932605	0.034950701	0.30807288	0.209064688	0.188735452	0.165505067	0.653152681
Ir75f	4.782769571	9.002411707	8.817247687	0.029384041	0.018328255	0.044401766	0.00513974	0.009329936	0.036610381	0.019527553	0.025223383	0.022104747	0.013582964	0.033496668	0.040406551	0.068472899	0.319476211	0.406120626	0.079782332	0.065858465	0.020947299	2.875561099	0.012709337	0.009060948	0.0272693	0.031898946	0.03103227	0.008164407
Ir75g	6.874142465	9.451133931	11.59748769	1.156466056	1.949551407	1.02092342	0.82528441	1.069055658	0.967345439	1.54129835	0.769004785	0.894821781	0.641876178	1.110984691	1.831437513	1.476774975	0.839665382	0.97874578	1.671140664	1.029681766	1.149545759	2.130854148	1.084943413	1.648283758	1.644287647	1.123812549	1.66093903	0.883647801
Ir75h	2.584506263	5.100531726	4.58582834	0.01304336	0.011932458	0.211385195	0.125482079	0.157169402	0.002979354	0.012713219	0.014779341	0.008994424	0.011053838	0.002973777	0.00789191	0.00371489	0.005379104	0.022662998	0.108211436	0.009894638	0.005114077	6.168869293	0	0.327397686	0	0.01297976	0.020203328	0.031892259
Ir75i	2.848457999	4.174155896	4.056585239	0.086259845	0.070003785	0	0	0.009718706	1.213987991	1.376418983	0.441408565	1.212690167	0.679146869	1.32908116	1.52366615	0.903462237	0.017213136	0.066478082	0.38783069	0.453832801	0.447311014	2.988437958	0.016548631	0.028315469	0.605984004	0.87500698	0.829681103	0.497518762
Ir75j	0.007303556	0.015244676	0.007211564	0	0	0	0	0	0.003165666	0	0	0.003822757	0	0.003159741	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ir75k	9.088575334	10.28820194	7.541151347	0.042468552	0.018211768	0.181992428	0.188961218	0.22713009	0.018188741	0.038806692	0.020050415	0.014642786	0.024743665	0.01512891	0.016059868	0.003779861	0.10399045	0.328594994	0	0.030202966	0.010407037	4.325590849	0.022099904	0.297110032	0.018063866	0.023772117	0.020556591	0.032450031
Ir75l	2.497006919	3.273746688	2.797942121	0	0	0.016362687	0.040406853	0.016045028	0.050967686	0.057569292	0.039659419	0.018102041	0.064515425	0.065834669	0.039707825	0.14953026	0	0.017104173	0.06969103	0.074676221	0.092632474	1.779222408	0	0.124659395	0.071460564	0.049633164	0.193138282	0.080232031
Ir76b	56.6023094	123.4135903	132.1303572	1.008285702	0.312470032	0.800512845	0.467918217	0.815988314	23.18105653	12.51098703	3.436735587	4.612686201	3.16787228	18.61476434	7.514249899	132.70169	12.15344296	14.07108057	56.27942079	93.65125735	71.58832026	119.4621847	0.061752635	0.324399926	25.4301389	2.773540601	23.32070743	90.57598347
Ir7a	0.010961371	0.038132815	0.02886219	0.063786657	0.025371362	0	0.026680568	0.002421601	0.015837111	0.006757863	0.026187051	0.024861704	0.016452207	0.022130455	0.016780156	0.003949388	0.017155961	0.162631549	0.07822882	0.026297963	0.032621385	0.048374887	0	0	0.028311157	0.030357911	0.021478558	0.004238172
Ir7b	0.006982791	0.051013175	0	0	0	0.022024646	0.010197893	0	0.278451603	0.200182676	0.125115753	0.100509228	0.060638103	0.241678547	0.1042233	4.143695231	0	0.017267032	0.123120759	3.342188894	2.935316824	0.00660356	0	0	0.315616921	0.065928763	0.082095737	2.207144354
Ir7c	0.04032565	0.068867887	0.021718784	0	0	0	0.026769518	0.014578046	0.584747875	0.515309319	0.262743365	0.303172611	0.27354501	0.459944536	0.311467203	9.668615786	0.005737719	0.012086922	0.184681139	6.353657314	5.329545947	0.069337376	0.006619441	0.066069405	0.549174042	0.445810334	0.592630689	5.315368803
Ir7d	0.024754132	0.02952534	0.020950581	0	0.006138893	0.005576989	0	0.002343737	0.395458942	0.248541351	0.116587072	0.257281472	0.143308488	0.324342889	0.227368378	5.229033469	0.011069531	0.058297145	0.017814896	3.283353193	3.067790324	0.033442457	0	0.018209289	0.347077171	0.280462317	0.322212695	3.084627514
Ir7e	0.014145239	0.051669272	0.034917659	0.091261371	0.092083275	0.189617489	0.191087722	0.166405096	0.009196719	0.013081117	0.045620982	0.011105677	0.020472697	0.015299172	0.02436088	1.463975536	0.293342425	0.332293922	0.093528246	0.865380648	1.057676911	0.060196448	0.003192661	0.109255836	0.082202554	0.008013203	0	0.229706208
Ir7f	0.027975586	0.04014556	0.027623281	0	0	0	0	0	0.015157258	0	0.005012594	0.034776544	0.008997729	0	0.024089863	2.06380098	0.010946361	0.017294466	0.03082914	1.20811713	1.066720242	0	0	0	0.009031967	0.021130742	0.030834964	0.22309357
Ir7g	0.263379888	0.304594012	0.199147618	0	0.006178619	0.00561308	0.015593891	0.01415344	0.070964617	0.111909269	0.096934455	0.068928209	0.034341972	0.043114971	0.065382788	4.620408544	0	0	0.04930814	4.098732043	3.770847905	0.053854297	0	0.027490707	0.128698142	0.032260306	0.177840953	2.955965315
Ir7h	0.187903983	0.372986256	0.215854174	0	0	0.046484138	0.032284784	0.019535049	0.121370129	0.115845772	0.073937711	0.067495898	0.035549949	0.095639159	0.109984409	7.092760206	0.005766544	0	0.232011924	4.423230788	4.221470879	0.04181149	0	0.018971768	0.123709053	0.050092599	0.249071905	3.73518927
